,Layers Decomposed,Matrices Decomposed,Rank,Batch Size,Dataset Size,Total Inference Time(s),Benchmark,Parameter Reduction(%),Inference Time Per Batch
0,"[2, 8, 14, 20, 26]","[1, 1, 1, 1, 1, 1, 1]",1,64,35595,128.36564660072327,arc_easy,15.010730454178034,0.2308021177818876
1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]","[1, 1, 1, 1, 1, 1, 1]",1,64,35595,62.19066381454468,arc_easy,96.06867490673937,0.11181914550163954
2,"[4, 8, 12, 16, 20, 24, 28]","[1, 1, 1, 1, 1, 1, 1]",1,64,35595,122.96780586242676,arc_easy,21.015022635849245,0.22109677132168318
3,"[2, 17, 31]","[1, 1, 1, 1, 1, 1, 1]",1,64,35595,133.40033411979675,arc_easy,9.006438272506823,0.23985451281547948
4,[],"[1, 1, 1, 1, 1, 1, 1]",1,64,35595,138.82497119903564,arc_easy,0.0,0.24960803923973257
5,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]","[1, 1, 1, 1, 1, 1, 1]",1,64,35595,100.08695077896118,arc_easy,48.03433745336969,0.17995687174753522
6,"[2, 5, 8, 11, 14, 17, 20, 23, 26, 29, 31]","[1, 1, 1, 1, 1, 1, 1]",1,64,35595,112.8378279209137,arc_easy,33.02360699919167,0.20288301691075927
7,"[1, 3, 5, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1, 1, 1, 1, 1, 1, 1]",1,64,35595,78.53809857368469,arc_easy,75.05365227089014,0.14121192045837394
8,"[1, 3, 5, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 22, 24, 26, 28, 30]","[1, 1, 1, 1, 1, 1, 1]",1,64,35595,90.18757152557373,arc_easy,60.042921816712116,0.16215773500875738
9,"[2, 29]","[1, 1, 1, 1, 1, 1, 1]",1,64,35595,135.7786045074463,arc_easy,6.004292181671211,0.24413065566727243
10,"[0, 2, 4, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]","[1, 1, 1, 1, 1, 1, 1]",1,64,35595,71.94269490242004,arc_easy,84.06009054339695,0.12935334945230742
11,"[4, 8, 12, 16, 20, 24, 28]","[1, 1, 1, 1, 1, 1, 1]",1,64,23460,92.84718680381775,arc_challenge,21.015022635849245,0.25329155820308336
12,"[2, 29]","[1, 1, 1, 1, 1, 1, 1]",1,64,23460,103.19339156150818,arc_challenge,6.004292181671211,0.2815164987185219
13,"[2, 8, 14, 20, 26]","[1, 1, 1, 1, 1, 1, 1]",1,64,23460,97.52600717544556,arc_challenge,15.010730454178034,0.26605560354767754
14,"[1, 3, 5, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1, 1, 1, 1, 1, 1, 1]",1,64,23460,58.88634467124939,arc_challenge,75.05365227089014,0.1606447595464604
15,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]","[1, 1, 1, 1, 1, 1, 1]",1,64,23460,75.68033456802368,arc_challenge,48.03433745336969,0.20645956574396912
16,"[2, 5, 8, 11, 14, 17, 20, 23, 26, 29, 31]","[1, 1, 1, 1, 1, 1, 1]",1,64,23460,85.61099815368652,arc_challenge,33.02360699919167,0.23355089010383365
17,[],"[1, 1, 1, 1, 1, 1, 1]",1,64,23460,106.45804142951965,arc_challenge,0.0,0.2904226194155694
18,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]","[1, 1, 1, 1, 1, 1, 1]",1,64,23460,46.09996938705444,arc_challenge,96.06867490673937,0.12576291733893796
19,"[2, 17, 31]","[1, 1, 1, 1, 1, 1, 1]",1,64,23460,101.40338921546936,arc_challenge,9.006438272506823,0.2766332868623205
