,Layers Decomposed,Matrices Decomposed,Rank,Batch Size,Dataset Size,Number of Batches,Total Inference Time(s),Benchmark,Parameter Reduction(%),Inference Time Per Batch,Total Average Power,Total Average Energy,Average Energy Per Batch,Average Memory Usage,Average Memory Utlization
0,[],"[1, 1, 1, 1, 1, 1, 1]",1,64,35595,556.171875,138.82497119903564,arc_easy,0.0,0.24960803923973257,1119.5693333333334,151141.86,271.7538710493047,26045.262962962966,87.41851851851851
1,"[2, 8, 14, 20, 26]","[1, 1, 1, 1, 1, 1, 1]",1,64,35595,556.171875,128.36564660072327,arc_easy,15.010730454178034,0.2308021177818876,1129.96936,141246.16999999998,253.96136760781005,24151.288,85.92599999999999
2,"[4, 8, 12, 16, 20, 24, 28]","[1, 1, 1, 1, 1, 1, 1]",1,64,35595,556.171875,122.96780586242676,arc_easy,21.015022635849245,0.22109677132168318,1125.0725833333331,135008.71000000002,242.7463812333193,23393.254166666666,85.02708333333334
3,"[2, 5, 8, 11, 14, 17, 20, 23, 26, 29, 31]","[1, 1, 1, 1, 1, 1, 1]",1,64,35595,556.171875,112.8378279209137,arc_easy,33.02360699919167,0.20288301691075927,1091.916909090909,120110.86000000002,215.9599674111533,21880.03181818182,83.59545454545454
4,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]","[1, 1, 1, 1, 1, 1, 1]",1,64,35595,556.171875,100.08695077896118,arc_easy,48.03433745336969,0.17995687174753522,1097.0887628865978,106417.60999999999,191.33943081893523,19928.659793814433,81.29381443298969
5,"[2, 29]","[1, 1, 1, 1, 1, 1, 1]",1,64,35595,556.171875,135.7786045074463,arc_easy,6.004292181671211,0.24413065566727243,1117.3319696969697,147487.82,265.1838876246664,25355.598484848484,86.45265151515152
6,"[1, 3, 5, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 22, 24, 26, 28, 30]","[1, 1, 1, 1, 1, 1, 1]",1,64,35595,556.171875,90.18757152557373,arc_easy,60.042921816712116,0.16215773500875738,1095.4190804597702,95301.45999999999,171.35253378283466,18405.298850574713,79.62643678160919
7,"[1, 3, 5, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1, 1, 1, 1, 1, 1, 1]",1,64,35595,556.171875,78.53809857368469,arc_easy,75.05365227089014,0.14121192045837394,1056.4373684210525,80289.23999999999,144.3604820901812,16469.46052631579,77.02960526315789
8,"[0, 2, 4, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]","[1, 1, 1, 1, 1, 1, 1]",1,64,35595,556.171875,71.94269490242004,arc_easy,84.06009054339695,0.12935334945230742,995.7204285714284,69700.43,125.32174518893102,15357.057142857142,74.25357142857143
9,"[2, 17, 31]","[1, 1, 1, 1, 1, 1, 1]",1,64,35595,556.171875,133.40033411979675,arc_easy,9.006438272506823,0.23985451281547948,1120.3103846153847,145640.35,261.86212670318866,24969.399999999998,85.975
10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]","[1, 1, 1, 1, 1, 1, 1]",1,64,35595,556.171875,62.19066381454468,arc_easy,96.06867490673937,0.11181914550163954,978.3808333333334,58702.85,105.54803764573676,13684.9,68.55833333333334
11,[],"[1, 1, 1, 1, 1, 1, 1]",1,64,23460,366.5625,106.45804142951965,arc_challenge,0.0,0.2904226194155694,1128.1609615384616,117328.74,320.07840409207165,27133.105769230773,87.82451923076923
12,"[2, 8, 14, 20, 26]","[1, 1, 1, 1, 1, 1, 1]",1,64,23460,366.5625,97.52600717544556,arc_challenge,15.010730454178034,0.26605560354767754,1129.1150526315787,107265.93,292.62657800511505,25350.426315789475,87.86315789473684
13,"[4, 8, 12, 16, 20, 24, 28]","[1, 1, 1, 1, 1, 1, 1]",1,64,23460,366.5625,92.84718680381775,arc_challenge,21.015022635849245,0.25329155820308336,1137.2689999999998,102354.20999999999,279.2271713554987,24446.46111111111,86.69166666666666
14,"[2, 5, 8, 11, 14, 17, 20, 23, 26, 29, 31]","[1, 1, 1, 1, 1, 1, 1]",1,64,23460,366.5625,85.61099815368652,arc_challenge,33.02360699919167,0.23355089010383365,1116.8686746987953,92700.1,252.89029838022168,23019.656626506025,85.97289156626506
15,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]","[1, 1, 1, 1, 1, 1, 1]",1,64,23460,366.5625,75.68033456802368,arc_challenge,48.03433745336969,0.20645956574396912,1099.0291780821917,80229.13,218.86889684569482,21115.020547945205,83.56164383561644
